,commentText,commentClassification,length
0,please remove data saved string in reason and add a correct message .,refactoring suggestion,69
1,check for null domain url add log also if url is null,code suggestion,53
2,please get it verified will merge the same once verified .,completeness suggestion,58
3,this will always true .,buggycode suggestion,23
4, data inline card data inline card duplicate code please fix and reject the unwanted pr .,logistics suggestion,89
5,please check the alignment on this line .,refactoring suggestion,41
6,if we don t need this commented code please remove it .,refactoring suggestion,55
9,i hope this won t affect any other custom widget,completeness suggestion,48
10, b c a beeaebbdf not addressed,completeness suggestion,30
12, export const order id order id or export const id id which one we need ?,questioning,73
13,please create a seperate file for both the components below .,code suggestion,61
14, b be b a ce a fd wasnt there some issue with this approach ?,buggycode suggestion,61
16,require query here also .,completeness suggestion,25
17, import gql usemutation from apollo client ,code suggestion,43
18,please use constants for request code instead of using magic numbers like this .,buggycode suggestion,80
19,keep an array list with table as default . based on the conditions add it to the list,code suggestion,85
20,why should the key be string type ?,questioning,35
21,space after comma,refactoring suggestion,17
22,please file a bug to change the raw sql query to cakephp query .,logistics suggestion,64
23,it s showing file changes .,logistics suggestion,27
24,db value sku input value sku php will not match this result,buggycode suggestion,59
25, ffc ed dbf da ae it matters for readability . so i want to make a standard .,refactoring suggestion,77
26,u hv used a wron stringutils,buggycode suggestion,28
27,please use proper names l ,spelling suggestion,26
28,remove collate utf mb unicode ci everywhere,code suggestion,43
29,keep deleted data in logs .,code suggestion,27
30,why it s ,questioning,9
31,please get it verified and update .,completeness suggestion,35
33,where exactly is the classes being used here ?,questioning,46
34,can we use the getcompanyid of company .php instead of reading it from the session ?,reuse suggestion,84
35,please remove the unnecessary params,refactoring suggestion,36
36,separate comment and code lines .,refactoring suggestion,33
37,when will the condition for canswitchvendor satisfy and fail ?,questioning,62
39,will merge this .,logistics suggestion,17
40,please resolve conflict .,logistics suggestion,25
41,just return collections .emptyset,code suggestion,33
42,please remove commented code .,refactoring suggestion,30
43,please resolve conflict .,logistics suggestion,25
44,i think now every time we are download file . so check if this argument is really required .,code suggestion,92
45,please remove this,refactoring suggestion,18
46,add foreign key,buggycode suggestion,15
47, this is not the right way ! we should use any of the typography .,buggycode suggestion,66
48,please get it verified and update pr for merge .,completeness suggestion,48
51, f ea d fb a f c exactly and it should not be mixed,buggycode suggestion,51
54,this is wrong why are we using create while editing the values ?,buggycode suggestion,64
55,set the key as the key and value as i d .,refactoring suggestion,41
57, ffc ed dbf da ae don t see any use of these changes !,buggycode suggestion,54
