commentText	commentClassification
please remove it and folder paymentsold completely . we can create mock in all new apis in payments folder itself .	code suggestion
are we are not using these strings ? then please removed these changes .	refactoring suggestion
call paymentid as warehouseid so that it s clear we are showing payment warehouse wise .	spelling suggestion
no need to make it caps button by default shows it in caps . remove spaces . export const proceed to pay trans proceed to pay trans 	code suggestion
follow no pending invoices instead of no pending invoices i have tried for flow this most of the places .	spelling suggestion
 key nav links payments 	code suggestion
i thinks it should be payments not payment	spelling suggestion
unnecessary changes !	buggycode suggestion
unnecessary changes !	buggycode suggestion
we have not use this component in payments . so we can keep this component here itself . warehousebalancelist call the container i .e . usequeryoutletbalancedata from payments .	code suggestion
is it orderdetails or paymentdetails ? please go through file i see everything related to order . not commenting on each line . 	questioning
we don t need swipebleviews here we just need cards to be scroll horizontally if it s more than one . refer companyfilter check how we are doing it there ?	code suggestion
do we need this component ? we are only using it in paymentbalancelist .jsx but no other components .	code suggestion
we don t need swipebleviews here we just need cards to be scroll horizontally if it s more than one . refer companyfilter check how we are doing it there ?	code suggestion
do we need this component ? we are only using it in warehousebalancelist .jsx but no other components .	code suggestion
it should be warehouseids from backend side	code suggestion
can we make the query name as warehousebalancedetails please .	spelling suggestion
it s a basic sense to have plural when we are passing array of items . warehouseids ?array id 	spelling suggestion
as i see warehouseid rather warehouseids is optional in the query input how it will response if frontend don t provide anything this key ? ? ? as per my understanding it should send all warehouses based on globaloutletid companyid combination .	code suggestion
please rename it globaloutletid we always deal with globaloutletid 	spelling suggestion
not using need to remove it .	buggycode suggestion
 warehouseids is mandatory ! so it should be warehouseids array id 	spelling suggestion
can we make the query name as warehousebankdetails please .	spelling suggestion
it should be orderids array id 	spelling suggestion
it should be orderids from backend side	spelling suggestion
i have following views this call is optional for showing payment details this call is mandatory for doing online payment so this call should be part of pay now button itself it should decided it show or not to show the button . 	logical suggestion
no props types has been defined here . even through out this implementation we have not mentioned any types of responses and inputs . please flow types files	buggycode suggestion
we need not merge this data if we move back details can inside pay now button it will be independent .	logistics suggestion
remove divider from here .	code suggestion
allinvoices index .jsx pendinginvoices index .jsx have similar code . please merge these two files into one component and reuse it . 	refactoring suggestion
we don t need this button here it s of no use .	buggycode suggestion
remove this logs	refactoring suggestion
remove this logs	refactoring suggestion
 e a b fe a c ad c please clean up few things here unnecessary console .log commented codes then rebase and merge to master .	refactoring suggestion
we don t need this hard coded values card variant outlined 	code suggestion
i think typographyprops is handling read and unread condition . let it be . whatever variant we want to typography pass it directly .	code suggestion
we are loosing read unread behaviour for the body . typography component p variant caption . . .typographyprops also caption is too small to read out this much long text . better to keep variant body 	code suggestion
it can be done easily with spacing same for all below lines point down 	code suggestion
we have to understand the purpose of the theme i think many places we are misusing it . few points are as follows . spacing spacing steps should used in padding and margin . sizing should be used in height width minwidth etc . . . spacing and sizing should be used in proper steps . . for example there are made maintain a scaling factor through out the app . if you want understand layout read this 	logical suggestion
we are using paper and we are trying to remove every property of a paper by overriding styles . why we need it ?	questioning
can t we move this what s new button with notificationcountcontainer in home .jsx component . on click of the button we can open render the notificationdrawer .	logical suggestion
let s make this folder in screens called home like other screens app screens home index .jsx 	code suggestion
can t we use color from theme ?	questioning
can t we use divider props in listitem to get the divider effect ? 	code suggestion
 what we are getting with this ?	questioning
 . the key prop is missing ! . do we really need this empty tag ? 	buggycode suggestion
 a c bb c ee ca f i have a overall view in this component to match the styles and design we have implemented every component of datatable i .e . searching row per page etc . . by our own . so far it looks good as per the requirement right now . in future can we maintain develop any other table related support in this component ? my recommendation would be can we achieve the same ui using data table itself ?	logical suggestion
 a c bb c ee ca f we are not going to use this button anywhere it s very specific to dashboard . up to you	refactoring suggestion
ticket for this ?	logistics suggestion
check the filter order numbers .	buggycode suggestion
 a c bb c ee ca f better to correct it for the future .	buggycode suggestion
is it not default range instead of hardcode here ? i mean everywhere it s imported from utils range .js 	buggycode suggestion
remove logs	refactoring suggestion
classnames don t apply here ?	questioning
we can use a const value here	buggycode suggestion
should be a full stop at the end . also is the text present somewhere like a sheet or something ? 	questioning
if we follow this color in alternate rows then we are going to have problem while doing select row color user we have a confusion . please follow something like 	code suggestion
same as above comment i .e . table table .jsx 	code suggestion
we are already doing override in bizom mui theme createtheme .js file . did you test there are no issues ? can t we keep the same place ? in future developer will have a confusion and unexpected override of overrides ! ! !	buggycode suggestion
 a c bb c ee ca f there are concerns i have raised please have look on those .	completeness suggestion
can there be extra field for info ? something like the warehouse id would help	logical suggestion
remove this field amounttoshow we are not going to use this it will create confusion later .	code suggestion
