commentText	commentClassification
please get it verified will merge once verified .	COMPLETENESS_SUGGESTION
add support for join with roles table	CODE_SUGGESTION
we don t need to add graphql tag .macro separately . we can import it from apollo client now . we can import like import gql usequery from apollo client 	CODE_SUGGESTION
please give us the query so that we can analyze .	COMPLETENESS_SUGGESTION
camelcase	SPELLING_SUGGESTION
why proper description of changes missing ?	DOCUMENTATION_SUGGESTION
hardcoded to true ? if this is just a stub please add some comments and todo to tag it for later .	BUGGYCODE_SUGGESTION
kindly note we also have addition from controller .	LOGICAL_SUGGESTION
please rename this file	SPELLING_SUGGESTION
 e a b fe a c ad c then i guess the companyid should be part of the reason type and should be used along with id to create a key at ui level else caching will be a problem across companies	BUGGYCODE_SUGGESTION
please resolve the conflicts . .	LOGISTICS_SUGGESTION
correct indentation to single tabs . dual tabs used here .	REFACTORING_SUGGESTION
on hold as discussed with vidya .	LOGISTICS_SUGGESTION
 d aae b ea c e f a this is nice thing i guess a e ec aa b a c we can also try to use this some of outletservice apis 	REUSE_SUGGESTION
is this properly formatted ?	QUESTIONING
 we don t need the handler here . this functionality should be internal to the each join . so i think we should keep it in joinscard component . external to joinscard component always should be add update or remove whole join object .	BUGGYCODE_SUGGESTION
as discussed with a c bb c ee ca f this is for now storing the url as well as the dashboard id . further contextual changes can be expected . this is alright for the first cut .	COMPLETENESS_SUGGESTION
 brand support brand support do below strings also like that point down 	CODE_SUGGESTION
only conflict .	LOGISTICS_SUGGESTION
this should be there as we are storing multiple entity wise data	LOGICAL_SUGGESTION
this can be covered using tus specific service layer . the controller layer should be generic .	BUGGYCODE_SUGGESTION
fix indentation .	REFACTORING_SUGGESTION
callback is mainly for stating that a delivery report has been successfully received by notification consumer . we let the feedback processor deal with the transaction message id .	LOGICAL_SUGGESTION
 a e a f b e d d ed e we have three grey shades in out theme can we use any of grey .light grey .main grey .dark ?	REUSE_SUGGESTION
 f ea d fb a f c you will be applying it based on selectedfilters and supportedfilters . these are your sources . you can use these two and show the filter	CODE_SUGGESTION
foreign key here .	BUGGYCODE_SUGGESTION
please resolve the conflict .	LOGISTICS_SUGGESTION
why ?	QUESTIONING
can we create a constant for week month then iterate it ?	BUGGYCODE_SUGGESTION
please get it verified and update the pr once verified .	COMPLETENESS_SUGGESTION
its a default part of the gst gst cgst sgst igst cess advalorem state cess 	LOGICAL_SUGGESTION
please use isrequired feature of the formdefinitions .	REUSE_SUGGESTION
 e a b fe a c ad c can we go with withstyles withtheme from material ui . so that we don t have to hardcode value . we can directly access from theme . for example widgetoptions .jsx component all .	BUGGYCODE_SUGGESTION
 atomicreference any specific region to use this here ?	CODE_SUGGESTION
can we extract this to a common place ? is there a chance for any other modules to use it ?	REFACTORING_SUGGESTION
you can do a stronger check with stringutils .isempty but upto you	LOGICAL_SUGGESTION
please verify and update pr .	COMPLETENESS_SUGGESTION
did you test this change e a b fe a c ad c 	COMPLETENESS_SUGGESTION
please merge after verification .	COMPLETENESS_SUGGESTION
igst to be considered only when the state of buyer and seller is different .	BUGGYCODE_SUGGESTION
update comment	DOCUMENTATION_SUGGESTION
why it is in sanity ?	QUESTIONING
remove after	REFACTORING_SUGGESTION
please do not comment this . if there is any lag issue in consumer mappings will get handled from here .	LOGICAL_SUGGESTION
please get it verified and update pr for merging .	COMPLETENESS_SUGGESTION
