commentText	commentClassification
please remove data saved string in reason and add a correct message .	REFACTORING_SUGGESTION
check for null domain url add log also if url is null	CODE_SUGGESTION
please get it verified will merge the same once verified .	COMPLETENESS_SUGGESTION
this will always true .	BUGGYCODE_SUGGESTION
 data inline card data inline card duplicate code please fix and reject the unwanted pr .	LOGISTICS_SUGGESTION
please check the alignment on this line .	REFACTORING_SUGGESTION
if we don t need this commented code please remove it .	REFACTORING_SUGGESTION
 d aae b ea c e f a please add update query . don t modify insert query .otherwise it will create new entry in widget types table .	BUGGYCODE_SUGGESTION
 d acaf d bc please expose the headerconfig private method for the stream method . if you don t then the headers will differ in the reports . please check and write accordingly .	CODE_SUGGESTION
i hope this won t affect any other custom widget	COMPLETENESS_SUGGESTION
 b c a beeaebbdf not addressed	COMPLETENESS_SUGGESTION
 f ea d fb a f c e a b fe a c ad c explained things over call to rahul and anirudh . regarding orderby should not be included in rules for deciding chart order by should contain both measures and dimensions if chart type is selected then order by and group by options should be limited to projections selected in x and y axis otherwise for normal table it should work as earlier 	LOGICAL_SUGGESTION
 export const order id order id or export const id id which one we need ?	QUESTIONING
please create a seperate file for both the components below .	CODE_SUGGESTION
 b be b a ce a fd wasnt there some issue with this approach ?	BUGGYCODE_SUGGESTION
 a e a f b e d d ed e typography system should generic like heading h h h etc in html subheading body body caption . also color should be a props to each typography . if something is there in screen not in design specs then we need to discuss with design team we need see how we can accommodate it with generic typography . marking this as todo . 	COMPLETENESS_SUGGESTION
require query here also .	COMPLETENESS_SUGGESTION
 import gql usemutation from apollo client 	CODE_SUGGESTION
please use constants for request code instead of using magic numbers like this .	BUGGYCODE_SUGGESTION
keep an array list with table as default . based on the conditions add it to the list	CODE_SUGGESTION
why should the key be string type ?	QUESTIONING
space after comma	REFACTORING_SUGGESTION
please file a bug to change the raw sql query to cakephp query .	LOGISTICS_SUGGESTION
it s showing file changes .	LOGISTICS_SUGGESTION
db value sku input value sku php will not match this result	BUGGYCODE_SUGGESTION
 ffc ed dbf da ae it matters for readability . so i want to make a standard .	REFACTORING_SUGGESTION
u hv used a wron stringutils	BUGGYCODE_SUGGESTION
please use proper names l 	SPELLING_SUGGESTION
remove collate utf mb unicode ci everywhere	CODE_SUGGESTION
keep deleted data in logs .	CODE_SUGGESTION
why it s 	QUESTIONING
please get it verified and update .	COMPLETENESS_SUGGESTION
 abb bdc c bd a fff a what is the usecase of updating inactive outlets data is there any usecase ? when outlet is inactive we cant do any transaction to that outlet right	QUESTIONING
where exactly is the classes being used here ?	QUESTIONING
can we use the getcompanyid of company .php instead of reading it from the session ?	REUSE_SUGGESTION
please remove the unnecessary params	REFACTORING_SUGGESTION
separate comment and code lines .	REFACTORING_SUGGESTION
when will the condition for canswitchvendor satisfy and fail ?	QUESTIONING
 e a b fe a c ad c based on current requirements contact details is a single structure comprising of name phone number . then you should have a contact hierarchy type that has fields of contact details for company warehouse area . . etc . any particular reason we are going with enum based approach ? what is the contract finalized with ui ? how are they expecting the data and displaying it ?	QUESTIONING
will merge this .	LOGISTICS_SUGGESTION
please resolve conflict .	LOGISTICS_SUGGESTION
just return collections .emptyset	CODE_SUGGESTION
please remove commented code .	REFACTORING_SUGGESTION
please resolve conflict .	LOGISTICS_SUGGESTION
i think now every time we are download file . so check if this argument is really required .	CODE_SUGGESTION
please remove this	REFACTORING_SUGGESTION
add foreign key	BUGGYCODE_SUGGESTION
 this is not the right way ! we should use any of the typography .	BUGGYCODE_SUGGESTION
please get it verified and update pr for merge .	COMPLETENESS_SUGGESTION
 b c a beeaebbdf i am talking about muserworkflowsutils .isoutletedit . is this setting common for outlet edit and warehouse edit ? ? ? ?	CODE_SUGGESTION
 e c a d conditions array activityformdata .transactionid transactionid activityformdata .activity type array paymentdetails activities 	CODE_SUGGESTION
 f ea d fb a f c exactly and it should not be mixed	BUGGYCODE_SUGGESTION
 brandexist this field is seen multiple times does the data and name match does the data have brand information ? we should use correct variable naming to denote what the data holds .	SPELLING_SUGGESTION
can we fix the indentation on this line ? it is having a mix of space and tabs so . . also use a space after the 	REFACTORING_SUGGESTION
this is wrong why are we using create while editing the values ?	BUGGYCODE_SUGGESTION
set the key as the key and value as i d .	REFACTORING_SUGGESTION
please check if we schedule a meeting reschedule will have start and end time but new meeting will not have those values . 	LOGICAL_SUGGESTION
 ffc ed dbf da ae don t see any use of these changes !	BUGGYCODE_SUGGESTION
don t use tree shaking here as it will pull in all unused modules . please refer to this doc 	BUGGYCODE_SUGGESTION
please add discription also .	DOCUMENTATION_SUGGESTION
please use schemetype in all the condition checks . and the response format for schemetype which cake php gives is array schemegroup array schemetype cash 	CODE_SUGGESTION
don t do any change .	LOGICAL_SUGGESTION
warehousetype id we need to fetch the outlettype which is not a mapping to warehousetype .	LOGICAL_SUGGESTION
please change to ri or rqa or dev .	LOGISTICS_SUGGESTION
please correct indentation .	REFACTORING_SUGGESTION
i think there is an .isempty check . please try to use that	REUSE_SUGGESTION
if already updated company then what you do ?	QUESTIONING
 a c bb c ee ca f . make a proper id . dialog title should include the action name and widget name it s hardcoded now 	BUGGYCODE_SUGGESTION
you should ideally be having safe values one for just numeric the other for regex	BUGGYCODE_SUGGESTION
 a c bb c ee ca f there are few incomplete comment proceed with dev merge please look into those and do it before release merge .	COMPLETENESS_SUGGESTION
please remove exclamation mark here it s unnecessary !	BUGGYCODE_SUGGESTION
this will not be needed as the key and value are same hence there can never be a duplicate data set in this format .	BUGGYCODE_SUGGESTION
dashboardtype .get should suffice	CODE_SUGGESTION
this changes are not required please revert .	BUGGYCODE_SUGGESTION
do you need this for drill down query ?	QUESTIONING
remove this	REFACTORING_SUGGESTION
why do you need this function ?	QUESTIONING
can we import stringutils at the top ?	CODE_SUGGESTION
alias is mandatory	CODE_SUGGESTION
use even if single single of if .	REFACTORING_SUGGESTION
can we use existing dialog method ?	REUSE_SUGGESTION
what if outlet is mapped to many areas ?	QUESTIONING
set target to development	LOGISTICS_SUGGESTION
 b dfc e b aaff i ve said for that or condition with multiple rows check the exact query not all . and give that one with or coindition with multiple rows with different outlets etc .	LOGICAL_SUGGESTION
where are we storing the data here we are displaying the error but as per description data has been stored . 	QUESTIONING
please get it verified and update pr will merge once verified .	COMPLETENESS_SUGGESTION
it already read data then again read is multiple time . make use or already read data .	LOGICAL_SUGGESTION
why is the default value an empty object ?	BUGGYCODE_SUGGESTION
can t we use check circle icon from material icon with primary color ? red circle note every file we include build will be downloaded in client device so first preference if you find some icon in material icons please use it instead of adding an image file . 	CODE_SUGGESTION
 f ea d fb a f c we don t need to send null value	CODE_SUGGESTION
if pre condition is null ?	QUESTIONING
add loge here also	CODE_SUGGESTION
 ffc ed dbf da ae there is the code sample without any flag const savedconsents retailer .retailercommunicationconsent useeffect if loadingcommunicationpreferencedata return const updatedcommunications communicationdata add commnunication status in enum .js and use it here .filter communication communication .status active .reduce arr communication const saved savedconsents .find preferenceid preferenceid communication .id if scope view preference scope .update return . . .arr . . .communication response saved saved .response false else if scope view preference scope .new !saved return . . .arr . . .communication response true return arr setopen scope view preference scope .new updatedcommunications .length setcommunications updatedcommunications loadingcommunicationpreferencedata communicationdata savedconsents 	CODE_SUGGESTION
correct indentation .	REFACTORING_SUGGESTION
fix indentation .	REFACTORING_SUGGESTION
remove commented code .	REFACTORING_SUGGESTION
use constant variable please	BUGGYCODE_SUGGESTION
why is this if condition if we aren t making any use of it .	BUGGYCODE_SUGGESTION
please use constants for these numbers instead of magic numbers writing in code .	BUGGYCODE_SUGGESTION
maintain indentation	REFACTORING_SUGGESTION
please change the unhidden to display or some positive word .	SPELLING_SUGGESTION
please try to use the theme object	REUSE_SUGGESTION
what we need to do here ?	QUESTIONING
i thinks it should be payments not payment	SPELLING_SUGGESTION
i do not know about this what is happening here ?	QUESTIONING
if we have fixed source then why cant we use enum ?	BUGGYCODE_SUGGESTION
is it desicded now ?	QUESTIONING
please use constants defined in color .xml	BUGGYCODE_SUGGESTION
do you think time retry for every single api required ?	LOGICAL_SUGGESTION
 e a b fe a c ad c please check the reorder functionality now we are disabling case when unitpercase is we need to remove this logic from product page . 	BUGGYCODE_SUGGESTION
any update ?	COMPLETENESS_SUGGESTION
base variable can be changed by user which shouldn t be done please remove this and and ?php echo this webroot ? where ever necessary .	CODE_SUGGESTION
follow how we are importing everywhere import listitemicon from material ui core listitemicon note what you have done is not wrong only what we are following .	CODE_SUGGESTION
how will this solve deploying it on all companies ?	QUESTIONING
