,commentText,commentClassification
0,"Please remove it and folder `PaymentsOld` completely. 

We can create mock in all-new apis in `Payments` folder itself.",add CODE_SUGGESTION end
1,"Are we are not using these strings? then, please removed these changes.",add REFACTORING_SUGGESTION end
2,Call `:paymentId` as `:warehouseId` so that it’s clear we are showing payment warehouse wise.,add SPELLING_SUGGESTION end
3,"No need to make it caps, Button by default shows it in caps. Remove spaces.

`export const PROCEED_TO_PAY = <Trans>Proceed to pay</Trans>;`",add CODE_SUGGESTION end
4,"Follow `No pending invoices` instead of `No Pending Invoices` 

I have tried for flow this most of the places.",add SPELLING_SUGGESTION end
5,"`key=""nav-links-payments""`",add CODE_SUGGESTION end
6,I thinks it should be `Payments` not Payment,add SPELLING_SUGGESTION end
7,unnecessary changes!,add BUGGYCODE_SUGGESTION end
8,unnecessary changes!,add BUGGYCODE_SUGGESTION end
9,"We have not use this component in payments. So we can keep this component here itself.

`WarehouseBalanceList`

call the container '(i.e. `useQueryOutletBalanceData`') from payments.",add CODE_SUGGESTION end
10,"Is it `OrderDetails` or `PaymentDetails` ?

Please go through file I see everything related to Order. Not commenting on each line.

‌",add QUESTIONING end
11,"We don’t need SwipebleViews here, We just need cards to be scroll horizontally if it’s more than one. Refer `CompanyFilter`  & check how we are doing it there?",add CODE_SUGGESTION end
12,"Do we need this component? We are only using it in  `PaymentBalanceList.jsx` , but no other components.",add CODE_SUGGESTION end
13,"We don’t need SwipebleViews here, We just need cards to be scroll horizontally if it’s more than one. Refer `CompanyFilter` & check how we are doing it there?",add CODE_SUGGESTION end
14,"Do we need this component? We are only using it in `WarehouseBalanceList.jsx` , but no other components.",add CODE_SUGGESTION end
15,It should be `warehouseIds` from backend side,add CODE_SUGGESTION end
16,can we make the query name as `warehouseBalanceDetails` please.,add SPELLING_SUGGESTION end
17,"It’s a basic sense to have plural when we are passing array of items. 

`warehouseIds: ?Array<ID>,`",add SPELLING_SUGGESTION end
18,"As I see `warehouseId` '(rather `warehouseIds`') is optional in the query input, how it will response if frontend don’t provide anything this key???  
  
As per my understanding it should send all warehouses based on `globalOutletId` & `companyId` combination. ",add CODE_SUGGESTION end
19,"Please rename it `globalOutletId` 

We always deal with `globalOutletId` ",add SPELLING_SUGGESTION end
20,"Not using, need to remove it.",add BUGGYCODE_SUGGESTION end
21,"`warehouseIds` is mandatory! So it should be

`warehouseIds: Array<ID>,`",add SPELLING_SUGGESTION end
22,can we make the query name as `warehouseBankDetails` please.,add SPELLING_SUGGESTION end
23,"It should be, `orderIds: Array<ID>`",add SPELLING_SUGGESTION end
24,It should be `orderIds` from backend side,add SPELLING_SUGGESTION end
25,"I have following views,

* This call is optional for showing payment details 
* This call is mandatory for doing online payment

So this call should be part of PAY NOW button itself, it should decided it show or not to show the button.

‌",add LOGICAL_SUGGESTION end
26,"No props types has been defined here.

Even through out this implementation we have not mentioned any types of responses and inputs.

Please flow **types/'*** files",add BUGGYCODE_SUGGESTION end
27,We need not merge this data if we move back details can inside PAY NOW button it will be independent.,add LOGISTICS_SUGGESTION end
28,Remove `<Divider />` from here.,add CODE_SUGGESTION end
29,"AllInvoices/**index.jsx** & PendingInvoices/**index.jsx** have similar code.

Please merge these two files into one component and reuse it.

‌",add REFACTORING_SUGGESTION end
30,"We don’t need this button here, it’s of no use.",add BUGGYCODE_SUGGESTION end
31,remove this logs,add REFACTORING_SUGGESTION end
32,remove this logs,add REFACTORING_SUGGESTION end
33,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} Please clean up few things here, '(1') unnecessary console.log '(2') commented codes

Then, rebase and merge to master.",add REFACTORING_SUGGESTION end
34,"We don’t need this hard coded values

`<Card variant=""outlined"">`",add CODE_SUGGESTION end
35,"I think `typographyProps` is handling read and unread condition. Let it be.

Whatever `variant` we want to `Typography` pass it directly.",add CODE_SUGGESTION end
36,"We are loosing read-unread behaviour for the body.

`<Typography component=""p"" variant=""caption"" {...typographyProps}>`

Also, caption is too small to read out this much long text. Better to keep `variant=""body1""`",add CODE_SUGGESTION end
37,"it can be done easily with `spacing(2)` 

Same for all below lines  :point_down: ",add CODE_SUGGESTION end
38,"We have to understand the purpose of the theme, I think many places we are misusing it. Few points are as follows,

1. spacing / spacing steps should used in padding and margin
2. sizing should be used in height, width, minWidth, etc..
3. spacing and sizing should be used in proper steps. 

    1. For example, `[0, 4, 8, 16, 32, 64]`
    

There are made maintain a scaling factor through out the app. If you want understand layout read this, [

‌",add LOGICAL_SUGGESTION end
39,We are using paper and we are trying to remove every property of a paper by overriding styles. Why we need it?,add QUESTIONING end
40,"Can’t we move this **What's New Button** with **NotificationCountContainer** in _Home.jsx_ component.

On click of the button we can open/render the NotificationDrawer.",add LOGICAL_SUGGESTION end
41,"Let’s make this folder in screens called Home, like other screens

App > screens > Home > index.jsx

‌",add CODE_SUGGESTION end
42,Can’t we use color from theme?,add QUESTIONING end
43,"Can’t we use divider props in `ListItem` to get the divider effect?

‌",add CODE_SUGGESTION end
44,`{' '}` what we are getting with this?,add QUESTIONING end
45,"1. the **key** prop is missing! 
2. Do we really need this empty tag?

‌",add BUGGYCODE_SUGGESTION end
46,"@{5a4c7bb014c00229ee9ca4f8} I have a overall view in this component,

To match the styles and design we have implemented every component of DataTable '(i.e. searching, row per page, etc..') by our own. So far it looks good as per the requirement right now.

In future can we maintain / develop any other table related support in this component? My recommendation would be can we achieve the same ui using data table itself?",add LOGICAL_SUGGESTION end
47,@{5a4c7bb014c00229ee9ca4f8} We are not going to use this button anywhere it’s very specific to dashboard. Up to you,add REFACTORING_SUGGESTION end
48,Ticket for this?,add LOGISTICS_SUGGESTION end
49,Check the filter order numbers.,add BUGGYCODE_SUGGESTION end
50,@{5a4c7bb014c00229ee9ca4f8} Better to correct it for the future.,add BUGGYCODE_SUGGESTION end
51,"Is it not `DEFAULT_RANGE` instead of 30 hardcode here?

I mean everywhere it’s imported from `utils/range.js` ",add BUGGYCODE_SUGGESTION end
52,remove logs,add REFACTORING_SUGGESTION end
53,Classnames don’t apply here?,add QUESTIONING end
54,We can use a const value here,add BUGGYCODE_SUGGESTION end
