"commentId","prId","commentText","author","commentClassification"
"155228690","868","Please remove it and folder `PaymentsOld` completely. 

We can create mock in all-new apis in `Payments` folder itself.","Himadri Ghosh","CODE_SUGGESTION"
"155229152","868","Are we are not using these strings? then, please removed these changes.","Himadri Ghosh","REFACTORING_SUGGESTION"
"155230749","868","Call `:paymentId` as `:warehouseId` so that it’s clear we are showing payment warehouse wise.","Himadri Ghosh","SPELLING_SUGGESTION"
"155231144","868","No need to make it caps, Button by default shows it in caps. Remove spaces.

`export const PROCEED_TO_PAY = <Trans>Proceed to pay</Trans>;`","Himadri Ghosh","CODE_SUGGESTION"
"155231888","868","Follow `No pending invoices` instead of `No Pending Invoices` 

I have tried for flow this most of the places.","Himadri Ghosh","SPELLING_SUGGESTION"
"155232044","868","`key=""nav-links-payments""`","Himadri Ghosh","CODE_SUGGESTION"
"155233646","868","I thinks it should be `Payments` not Payment","Himadri Ghosh","SPELLING_SUGGESTION"
"155234557","868","unnecessary changes!","Himadri Ghosh","BUGGYCODE_SUGGESTION"
"155236129","868","unnecessary changes!","Himadri Ghosh","BUGGYCODE_SUGGESTION"
"155242312","868","We have not use this component in payments. So we can keep this component here itself.

`WarehouseBalanceList`

call the container '(i.e. `useQueryOutletBalanceData`') from payments.","Himadri Ghosh","CODE_SUGGESTION"
"155243607","868","Is it `OrderDetails` or `PaymentDetails` ?

Please go through file I see everything related to Order. Not commenting on each line.

‌","Himadri Ghosh","QUESTIONING"
"155252931","868","We don’t need SwipebleViews here, We just need cards to be scroll horizontally if it’s more than one. Refer `CompanyFilter`  & check how we are doing it there?","Himadri Ghosh","CODE_SUGGESTION"
"155253867","868","Do we need this component? We are only using it in  `PaymentBalanceList.jsx` , but no other components.","Himadri Ghosh","CODE_SUGGESTION"
"155786543","868","We don’t need SwipebleViews here, We just need cards to be scroll horizontally if it’s more than one. Refer `CompanyFilter` & check how we are doing it there?","Himadri Ghosh","CODE_SUGGESTION"
"155786771","868","Do we need this component? We are only using it in `WarehouseBalanceList.jsx` , but no other components.","Himadri Ghosh","CODE_SUGGESTION"
"155797921","868","It should be `warehouseIds` from backend side","Himadri Ghosh","CODE_SUGGESTION"
"155798388","868","can we make the query name as `warehouseBalanceDetails` please.","Himadri Ghosh","SPELLING_SUGGESTION"
"155800458","868","It’s a basic sense to have plural when we are passing array of items. 

`warehouseIds: ?Array<ID>,`","Himadri Ghosh","SPELLING_SUGGESTION"
"155803844","868","As I see `warehouseId` '(rather `warehouseIds`') is optional in the query input, how it will response if frontend don’t provide anything this key???  
  
As per my understanding it should send all warehouses based on `globalOutletId` & `companyId` combination. ","Himadri Ghosh","CODE_SUGGESTION"
